epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7621,0.90337,3.09595,1.23035,0.49576,0.81615,0.73845,0.54126,1.06517,3.74502,0.95675,0.00026672,0.00026672,0.00026672
2,58.6667,0.86332,2.09048,1.12291,0.56075,0.99099,0.77025,0.48025,0.94479,1.97592,0.99795,0.00052288,0.00052288,0.00052288
3,87.8083,0.89691,1.91674,1.12335,0.03062,0.83333,0.09984,0.04438,1.23844,3.76641,1.54304,0.000750984,0.000750984,0.000750984
4,117.629,0.84248,1.93347,1.07868,0.02661,0.16667,0.05438,0.02872,1.34165,3.70633,1.39024,0.000951032,0.000951032,0.000951032
5,147.323,1.02844,1.74135,1.18284,0.07785,0.33333,0.12614,0.08169,1.37908,3.06569,1.2453,0.00112302,0.00112302,0.00112302
6,177.691,0.87729,1.68476,1.10113,0.15749,0.11944,0.14013,0.06019,1.59502,3.22902,1.45962,0.00125442,0.00125442,0.00125442
7,207.486,0.9773,1.5762,1.11995,0.13488,0.30913,0.20641,0.12036,1.4828,2.49358,1.22711,0.0011719,0.0011719,0.0011719
8,237.001,0.86472,1.52918,1.14313,0.08824,0.25,0.10397,0.06373,1.30426,2.79056,1.04665,0.00108938,0.00108938,0.00108938
9,266.169,0.85098,1.34478,1.08043,0.66071,0.16667,0.19564,0.13206,1.13735,2.6153,0.97966,0.00100687,0.00100687,0.00100687
10,296.076,0.81943,1.25057,1.03442,0.19357,0.66667,0.33603,0.24457,1.04732,2.20552,0.95321,0.000924352,0.000924352,0.000924352
11,324.646,0.76713,1.40807,1.01444,0.22172,0.5,0.28609,0.20678,1.0994,2.13645,1.02429,0.000841835,0.000841835,0.000841835
12,353.68,0.73288,1.41234,0.98437,0.6848,0.41667,0.21424,0.15977,1.05086,2.30157,1.02233,0.000759318,0.000759318,0.000759318
13,383.437,0.79793,1.32375,1.06333,0.0815,0.19606,0.11706,0.06754,1.47786,2.59117,1.22158,0.000676802,0.000676802,0.000676802
14,413.086,0.69885,1.18915,0.9972,0.1386,0.58333,0.1409,0.09286,1.36145,2.86686,1.28735,0.000594286,0.000594286,0.000594286
15,441.014,0.74301,1.16317,1.01142,0.12048,0.5,0.15111,0.10449,1.51624,3.20217,1.37951,0.000511769,0.000511769,0.000511769
16,468.698,0.64397,0.98661,0.94284,0.09964,0.5,0.1459,0.09807,1.44367,2.96666,1.28987,0.000429253,0.000429253,0.000429253
17,496.093,0.66474,1.01735,0.95755,0.01647,1,0.0923,0.05336,1.36221,3.1798,1.234,0.000346736,0.000346736,0.000346736
18,523.545,0.63079,0.92374,0.95065,0.01573,1,0.08693,0.0527,1.34015,3.27915,1.19512,0.00026422,0.00026422,0.00026422
19,550.924,0.63034,0.82197,0.94753,0.01495,0.91667,0.10096,0.06606,1.31473,3.25245,1.18742,0.000181703,0.000181703,0.000181703
20,578.441,0.59366,0.87516,0.95277,0.01884,1,0.09952,0.06845,1.26396,3.24677,1.17869,9.91865e-05,9.91865e-05,9.91865e-05
